date,open,high,low,close,volume,market_cap
2021-02-24,48891.00000000,51374.99000000,46988.69000000,49676.20000000,73140585468.96529,929081504353.552
2021-02-25,49676.21000000,52041.73000000,46674.34000000,47073.73000000,60355381275.54549,875883932252.4404
2021-02-26,47073.73000000,48424.11000000,44106.78000000,46276.87000000,74357197463.7094,869070614247.8623
2021-02-27,46276.88000000,48394.00000000,45000.00000000,46106.43000000,50989764248.82767,869649724200.5775
2021-02-28,46103.67000000,46638.46000000,43000.00000000,45135.66000000,59679588927.08056,838307614585.1935
2021-03-01,45134.11000000,49790.00000000,44950.53000000,49587.03000000,63218569171.598305,928146793676.4287
2021-03-02,49595.76000000,50200.00000000,47047.60000000,48440.65000000,53499537416.816475,905413239164.9064
2021-03-03,48436.61000000,52640.00000000,48100.71000000,50349.37000000,59212268141.16633,942969910364.1804
2021-03-04,50349.37000000,51773.88000000,47500.00000000,48374.09000000,60749587836.169136,908517236707.5374
2021-03-05,48374.09000000,49448.93000000,46300.00000000,48751.71000000,56568112294.26829,911379300053.3455
2021-03-06,48746.81000000,49200.00000000,47070.00000000,48882.20000000,41478786533.38212,916504852500.393
2021-03-07,48882.20000000,51450.03000000,48882.20000000,50971.75000000,46146324828.48082,955040794770.1399
2021-03-08,50959.11000000,52402.78000000,49274.67000000,52375.17000000,53568946625.62234,974195000547.444
2021-03-09,52375.18000000,54895.00000000,51789.41000000,54884.50000000,57418251743.06042,1018978819157.4177
2021-03-10,54874.67000000,57387.69000000,53005.00000000,55851.59000000,63560545036.79726,1044805904677.5541
2021-03-11,55851.59000000,58150.00000000,54272.82000000,57773.16000000,64605228617.76096,1077836070933.286
2021-03-12,57773.15000000,58081.51000000,54962.84000000,57221.72000000,59984971691.807,1069776383193.8628
2021-03-13,57221.72000000,61844.00000000,56078.23000000,61188.39000000,67332756651.27568,1145191373521.5942
2021-03-14,61188.38000000,61724.79000000,58966.78000000,58968.31000000,48104078384.27405,1111684638819.0723
2021-03-15,58976.08000000,60633.43000000,54600.00000000,55605.20000000,70594488699.70683,1049197142851.5631
2021-03-16,55605.20000000,56938.29000000,53271.34000000,56900.75000000,63219904254.35453,1060221966894.7418
2021-03-17,56900.74000000,58974.73000000,54123.69000000,58912.97000000,63368268626.27834,1101028543248.462
2021-03-18,58912.97000000,60129.97000000,57023.00000000,57648.16000000,58387006275.72827,1081065767945.8683
2021-03-19,57641.00000000,59468.00000000,56270.74000000,58030.01000000,51948388930.75819,1086741150606.8165
2021-03-20,58030.01000000,59880.00000000,57820.17000000,58102.28000000,54549112635.671715,1090022321077.5006
2021-03-21,58100.02000000,58589.10000000,55450.11000000,57351.56000000,55664123837.602554,1074356788297.177
2021-03-22,57351.56000000,58430.73000000,53650.00000000,54083.25000000,62001716794.84347,1020641820438.662
2021-03-23,54083.25000000,55830.90000000,53000.00000000,54340.89000000,60383378707.04851,1017637245492.0177
2021-03-24,54342.80000000,57200.00000000,51700.00000000,52303.65000000,73029051195.05199,982797427007.2565
2021-03-25,52303.66000000,53287.00000000,50427.56000000,51293.78000000,63401640502.561295,959155260366.7408
2021-03-26,51293.78000000,55073.46000000,51214.60000000,55025.59000000,55442557956.15464,1027209990794.8939
2021-03-27,55025.59000000,56700.36000000,53950.00000000,55817.14000000,47285749218.66506,1042184275332.6417
2021-03-28,55817.14000000,56559.75000000,54691.84000000,55777.63000000,49315845081.42435,1039333584621.1438
2021-03-29,55777.65000000,58405.82000000,54800.01000000,57635.47000000,57387039705.47129,1075942162536.995
2021-03-30,57635.46000000,59368.00000000,57071.35000000,58746.57000000,52387542500.621956,1095293012032.8433
2021-03-31,58746.57000000,59800.00000000,56769.00000000,58740.55000000,57495844477.9185,1098127310946.8978
2021-04-01,58739.46000000,59490.00000000,57935.45000000,58720.44000000,54320681400.56781,1098583823874.2307
2021-04-02,58720.45000000,60200.00000000,58428.57000000,58950.01000000,52224918752.08043,1103133931136.5508
2021-04-03,58950.01000000,59791.72000000,56880.00000000,57051.94000000,52067853987.600494,1067101827372.9529
2021-04-04,57051.95000000,58492.85000000,56388.00000000,58202.01000000,46156767978.177345,1087344280109.6896
2021-04-05,58202.01000000,59272.00000000,56777.77000000,59129.99000000,54670173277.08731,1096202611389.9541
2021-04-06,59129.99000000,59495.24000000,57413.02000000,57991.15000000,61497704158.13829,1084341670320.8142
2021-04-07,57990.03000000,58655.00000000,55473.00000000,55953.45000000,67617613532.43307,1050759681844.6099
2021-04-08,55953.44000000,58153.31000000,55700.00000000,58077.52000000,48714359354.07226,1083362883828.1199
2021-04-09,58077.52000000,58894.90000000,57654.00000000,58142.54000000,45880879041.76103,1085794662404.731
2021-04-10,58142.55000000,61500.00000000,57900.01000000,59769.13000000,61788197398.73793,1116221525334.3267
2021-04-11,59769.13000000,60699.00000000,59232.52000000,60002.43000000,46792500386.96501,1120606689450.4702
2021-04-12,59998.80000000,61300.00000000,59350.59000000,59860.00000000,55994558888.5224,1118532902101.5269
2021-04-13,59860.01000000,63777.77000000,59805.15000000,63575.00000000,71993120011.18321,1187737045885.1743
2021-04-14,63575.01000000,64854.00000000,61301.00000000,62959.53000000,80157135507.58896,1173412921929.8884
